[2024-11-25T17:22:33.158+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:22:22.961217+00:00 [queued]>
[2024-11-25T17:22:33.194+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:22:22.961217+00:00 [queued]>
[2024-11-25T17:22:33.196+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T17:22:33.233+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonSensor): detect_file> on 2024-11-25 17:22:22.961217+00:00
[2024-11-25T17:22:33.250+0000] {standard_task_runner.py:57} INFO - Started process 177 to run task
[2024-11-25T17:22:33.267+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'drift_detection_dag', 'detect_file', 'manual__2024-11-25T17:22:22.961217+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/drift-detection.py', '--cfg-path', '/tmp/tmpq9_pi_qm']
[2024-11-25T17:22:33.275+0000] {standard_task_runner.py:85} INFO - Job 3: Subtask detect_file
[2024-11-25T17:22:33.472+0000] {task_command.py:416} INFO - Running <TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:22:22.961217+00:00 [running]> on host 52f638c944a9
[2024-11-25T17:22:33.627+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='drift_detection_dag' AIRFLOW_CTX_TASK_ID='detect_file' AIRFLOW_CTX_EXECUTION_DATE='2024-11-25T17:22:22.961217+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-25T17:22:22.961217+00:00'
[2024-11-25T17:22:33.636+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:23:33.697+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:24:33.755+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:25:33.755+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:26:33.809+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:27:33.867+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:28:33.925+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:29:33.982+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:30:34.038+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:31:34.098+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:32:34.156+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:33:34.214+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:34:34.272+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:35:34.302+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:36:34.358+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:37:34.416+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:38:34.420+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:39:34.480+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:40:34.541+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:41:34.576+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:42:34.598+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:43:34.652+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:44:34.709+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:45:34.768+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:46:34.826+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:47:34.883+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:48:34.933+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:49:34.989+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:50:35.007+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:51:35.056+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:52:35.113+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:53:35.171+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
[2024-11-25T17:54:35.229+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc389860ca0>
