[2024-11-25T17:22:33.156+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.196+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.197+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T18:02:35.890+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:03:35.900+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:04:35.961+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:05:36.018+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:06:36.076+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:07:36.134+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:08:36.190+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:09:36.249+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:10:36.305+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:11:36.367+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:12:36.421+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:13:36.480+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:14:36.534+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:15:36.596+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:16:36.654+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:17:36.710+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:18:36.771+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:19:36.779+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:20:36.836+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:21:36.898+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:22:36.952+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:23:36.962+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:24:37.019+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:25:37.077+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:26:37.135+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:27:37.193+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:28:37.253+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:29:37.289+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:30:37.347+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:31:37.412+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:32:37.473+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:33:37.504+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:34:37.560+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:35:37.617+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:36:37.675+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:37:37.732+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
